seller_id,baseline_volume,recent_volume,baseline_review,recent_review,baseline_delay,recent_delay,baseline_rate,recent_rate,volume_decay,review_decay,delay_surge,SFI,future_orders,is_inactive
1025f0e2d44d7041d6cf58b6550e0bfa,235,153.0,3.969957081545064,3.393333333333333,4.222928240740741,3.1919675925925928,26.11111111111111,51.0,0.0,0.1452468468468468,0.0,0.043574054054054,527.0,0
10ff823eda2b032e2c93d17a7d294736,5,2.0,3.0,5.0,1.9126273148148147,2.760098379629629,0.5555555555555556,0.6666666666666666,0.0,0.0,0.4430926287889331,0.1772370515155732,2.0,0
1127b7f2594683f2510f1c2c834a486b,80,8.0,4.075,4.0,2.0523842592592594,2.168125,8.88888888888889,2.6666666666666665,0.7000000000000001,0.0184049079754601,0.056393309497761,0.2380787961917425,24.0,0
11305281b50fff20ae8bb473f8e11876,14,9.0,4.357142857142857,3.6666666666666665,1.8875636574074075,1.1018402777777778,1.5555555555555556,3.0,0.0,0.1584699453551912,0.0,0.0475409836065573,7.0,0
113e3a788b935f48aad63e1c41dac1bd,17,4.0,4.0,4.25,2.1357523148148148,3.6984375,1.8888888888888888,1.3333333333333333,0.2941176470588235,0.0,0.7316790314801467,0.3809069067097058,18.0,0
116ccb1a1604bc88e4d234a8c23f33de,17,19.0,4.352941176470588,4.842105263157895,1.7437962962962965,1.1578819444444444,1.8888888888888888,6.333333333333333,0.0,0.0,0.0,0.0,25.0,0
11bfa66332777660bd0640ee84d47006,23,35.0,4.086956521739131,3.5142857142857142,2.014247685185185,2.00474537037037,2.555555555555556,11.666666666666666,0.0,0.1401215805471125,0.0,0.0420364741641337,18.0,0
11eac105f3f90a9b87b19c89d91e24f3,5,0.0,3.6,,2.169375,,0.5555555555555556,0.0,1.0,0.0,0.0,0.3,0.0,1
128639473a139ac0f3e5f5ade55873a5,233,195.0,4.220779220779221,4.005181347150259,3.275625,2.0661805555555555,25.88888888888889,65.0,0.0,0.0510801115982463,0.0,0.0153240334794739,105.0,0
128f9bfbe4c7d5185033914b1de3d39a,8,4.0,4.625,4.75,4.314849537037037,2.486354166666666,0.8888888888888888,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0
12b9676b00f60f3b700e83af21824c0e,88,19.0,4.659090909090909,4.2105263157894735,5.3415740740740745,2.499548611111111,9.77777777777778,6.333333333333333,0.3522727272727273,0.0962772785622593,0.0,0.134565001750496,21.0,0
13074f016982ff2bd6c58ced8682f000,7,3.0,4.285714285714286,3.333333333333333,1.3894444444444445,13.434224537037036,0.7777777777777778,1.0,0.0,0.2222222222222221,1.0,0.4666666666666667,4.0,0
1336efc61c316ddf92c899eb817f7cae,40,12.0,3.8,4.666666666666667,3.1210069444444444,3.400104166666667,4.444444444444445,4.0,0.1,0.0,0.0894253768704456,0.0657701507481782,16.0,0
